R_ID,corp,unit,existing_cap_mw,fuel,heat_rate,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Start_cost,Up_time,Down_time,Up_time_up,Down_time_up
1,Korea Southern Power,1,48.514,oil,0.389,0.504,0.4,0.5,251.0288513,5.4,4.2,6,5
2,Korea Southern Power,2,48.514,oil,0.389,0.504,0.4,0.5,251.0288513,5.4,4.2,6,5
3,Korea Southern Power,1,49.217,oil,0.389,0.504,0.4,0.5,254.6664256,5.4,4.2,6,5
4,Korea Southern Power,1,100,biooil,0.389,0.504,0.4,0.5,517.4358974,5.4,4.2,6,5
5,Korea Southern Power,2,100,biooil,0.389,0.504,0.4,0.5,517.4358974,5.4,4.2,6,5
6,Korea Southern Power,1,35,gas,0.542,0.432,1,1,1250.666667,4,3.3,4,4
7,Korea Southern Power,2,35,gas,0.542,0.432,1,1,1250.666667,4,3.3,4,4
8,Korea Southern Power,1,35,gas,0.542,0.432,1,1,1250.666667,4,3.3,4,4
9,Korea Midland Power,2,75,biooil,0.389,0.504,0.4,0.5,388.0769231,5.4,4.2,6,5
10,Korea Midland Power,3,75,biooil,0.389,0.504,0.4,0.5,388.0769231,5.4,4.2,6,5
11,Korea Midland Power,1,71.893,gas,0.542,0.432,1,1,2568.976533,4,3.3,4,4
12,Korea Midland Power,2,71.893,gas,0.542,0.432,1,1,2568.976533,4,3.3,4,4
13,Korea Midland Power,1,42.474,gas,0.542,0.432,1,1,1517.7376,4,3.3,4,4
14,Korea Midland Power,2,42.474,gas,0.542,0.432,1,1,1517.7376,4,3.3,4,4
15,Korea Midland Power,1,40,oil,0.389,0.504,0.4,0.5,206.974359,5.4,4.2,6,5
16,Korea Midland Power,2,40,oil,0.389,0.504,0.4,0.5,206.974359,5.4,4.2,6,5
