날짜,,실시간 전력 부하,,,,육태,육풍,제태,제풍,신재생에너지,Netdemand
2022-06-30 0:00,92154100000,66763800000,25390400000,13117900000,19.6 %,34025000,5327058333,1291666.667,1149708333,6512083333,"60,251,716,667"
2022-06-30 0:05,91326700000,66731000000,24595700000,13129400000,19.7 %,34025000,5327058333,1291666.667,1149708333,6512083333,"60,218,916,667"
2022-06-30 0:10,91310700000,66015900000,25294800000,13356700000,20.2 %,34025000,5327058333,1291666.667,1149708333,6512083333,"59,503,816,667"
2022-06-30 0:15,91296200000,65864200000,25432000000,13348200000,20.3 %,34025000,5327058333,1291666.667,1149708333,6512083333,"59,352,116,667"
2022-06-30 0:20,91305200000,65642900000,25662400000,13094300000,19.9 %,34025000,5327058333,1291666.667,1149708333,6512083333,"59,130,816,667"
2022-06-30 0:25,91300700000,65524100000,25776600000,13118100000,20.0 %,34025000,5327058333,1291666.667,1149708333,6512083333,"59,012,016,667"
2022-06-30 0:30,91308500000,65142900000,26165600000,12808800000,19.7 %,34025000,5327058333,1291666.667,1149708333,6512083333,"58,630,816,667"
2022-06-30 0:35,91339700000,64960800000,26378800000,12474000000,19.2 %,34025000,5327058333,1291666.667,1149708333,6512083333,"58,448,716,667"
2022-06-30 0:40,91337400000,64660800000,26676700000,12512600000,19.4 %,34025000,5327058333,1291666.667,1149708333,6512083333,"58,148,716,667"
2022-06-30 0:45,91346900000,64728000000,26618900000,12227100000,18.9 %,34025000,5327058333,1291666.667,1149708333,6512083333,"58,215,916,667"
2022-06-30 0:50,91356400000,64466200000,26890200000,11958800000,18.6 %,34025000,5327058333,1291666.667,1149708333,6512083333,"57,954,116,667"
2022-06-30 0:55,91361800000,64330700000,27031000000,11718600000,18.2 %,34025000,5327058333,1291666.667,1149708333,6512083333,"57,818,616,667"
2022-06-30 1:00,91351100000,63895900000,27455300000,11474200000,18.0 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"57,306,658,333"
2022-06-30 1:05,91213100000,63841100000,27372000000,11281000000,17.7 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"57,251,858,333"
2022-06-30 1:10,91217200000,64137800000,27079400000,11032300000,17.2 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"57,548,558,333"
2022-06-30 1:15,91226100000,63787200000,27438900000,11179600000,17.5 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"57,197,958,333"
2022-06-30 1:20,91242100000,63623100000,27619000000,11012900000,17.3 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"57,033,858,333"
2022-06-30 1:25,91241800000,63456400000,27785400000,10804900000,17.0 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"56,867,158,333"
2022-06-30 1:30,91238700000,63347800000,27890900000,10480300000,16.5 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"56,758,558,333"
2022-06-30 1:35,91233700000,63527200000,27706500000,10306800000,16.2 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"56,937,958,333"
2022-06-30 1:40,91231300000,63564700000,27666600000,10324400000,16.2 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"56,975,458,333"
2022-06-30 1:45,91231700000,63533100000,27698600000,10150600000,16.0 %,10566666.67,5405983333,508333.3333,1172183333,6589241667,"56,943,858,333"
