resource,hour,gen_sum
_onshore_wind_turbine,1,36.861439999999995
_small_hydroelectric,1,2.18868
_solar_photovoltaic,1,0.0
_solar_photovoltaic_btm,1,0.0
biomass,1,21.4
hydroelectric_pumped_storage,1,42.0
natural_gas_fired_combined_cycle,1,522.41988
natural_gas_fired_combustion_turbine,1,0.0
_onshore_wind_turbine,2,36.07808
_small_hydroelectric,2,2.186484
_solar_photovoltaic,2,0.0
_solar_photovoltaic_btm,2,0.0
biomass,2,21.4
hydroelectric_pumped_storage,2,42.0
natural_gas_fired_combined_cycle,2,513.2234360000001
natural_gas_fired_combustion_turbine,2,0.0
_onshore_wind_turbine,3,32.68352
_small_hydroelectric,3,2.184288
_solar_photovoltaic,3,0.0
_solar_photovoltaic_btm,3,0.0
biomass,3,21.4
hydroelectric_pumped_storage,3,42.0
natural_gas_fired_combined_cycle,3,480.765192
natural_gas_fired_combustion_turbine,3,0.0
_onshore_wind_turbine,4,31.6608
_small_hydroelectric,4,2.182092
_solar_photovoltaic,4,0.0
_solar_photovoltaic_btm,4,0.0
biomass,4,21.4
hydroelectric_pumped_storage,4,42.0
natural_gas_fired_combined_cycle,4,394.390108
natural_gas_fired_combustion_turbine,4,0.0
_onshore_wind_turbine,5,20.28032
_small_hydroelectric,5,2.1798960000000003
_solar_photovoltaic,5,0.0
_solar_photovoltaic_btm,5,0.0
biomass,5,21.4
hydroelectric_pumped_storage,5,42.0
natural_gas_fired_combined_cycle,5,375.10778400000004
natural_gas_fired_combustion_turbine,5,0.0
_onshore_wind_turbine,6,15.60192
_small_hydroelectric,6,2.176968
_solar_photovoltaic,6,0.0
_solar_photovoltaic_btm,6,0.0
biomass,6,21.4
hydroelectric_pumped_storage,6,42.0
natural_gas_fired_combined_cycle,6,402.95511200000004
natural_gas_fired_combustion_turbine,6,0.0
_onshore_wind_turbine,7,4.59136
_small_hydroelectric,7,2.174772
_solar_photovoltaic,7,0.0
_solar_photovoltaic_btm,7,0.0
biomass,7,21.4
hydroelectric_pumped_storage,7,42.0
natural_gas_fired_combined_cycle,7,453.175868
natural_gas_fired_combustion_turbine,7,0.0
_onshore_wind_turbine,8,4.70016
_small_hydroelectric,8,2.1725760000000003
_solar_photovoltaic,8,170.8
_solar_photovoltaic_btm,8,29.28
biomass,8,21.4
hydroelectric_pumped_storage,8,42.0
natural_gas_fired_combined_cycle,8,351.07126400000004
natural_gas_fired_combustion_turbine,8,0.0
_onshore_wind_turbine,9,0.0
_small_hydroelectric,9,0.0
_solar_photovoltaic,9,698.155
_solar_photovoltaic_btm,9,210.89999999999998
biomass,9,0.0
hydroelectric_pumped_storage,9,0.0
natural_gas_fired_combined_cycle,9,0.0
natural_gas_fired_combustion_turbine,9,0.0
